payload_kg,distance_km,wind_speed_kmph,altitude_m,flight_time_min
2.1,7.1,13.0,29.5,19.16
4.0,8.1,6.4,101.9,26.44
1.7,1.8,1.3,77.1,8.64
4.0,4.3,7.9,83.3,23.86
0.5,13.1,17.2,100.5,23.79
4.5,1.2,25.2,74.7,24.76
0.7,9.1,3.2,95.4,19.84
2.3,3.9,27.2,88.2,16.1
1.3,12.4,8.9,95.4,20.27
3.6,4.4,22.8,12.5,22.52
1.1,13.2,11.9,31.8,29.25
2.3,3.0,2.5,43.5,11.76
1.1,5.6,0.6,117.9,6.47
4.5,1.8,21.6,88.7,20.95
0.8,6.0,25.5,63.2,22.95
1.2,4.3,2.6,15.6,13.48
2.0,9.0,4.9,27.1,16.75
3.1,11.4,13.2,76.4,29.03
3.0,13.9,11.1,47.5,31.54
0.8,6.6,27.8,20.7,25.4
0.3,4.6,6.9,14.5,17.04
3.1,8.8,6.1,116.9,21.92
0.5,13.5,3.1,58.9,18.87
1.4,13.5,8.6,45.0,29.18
3.1,1.2,17.6,109.1,10.58
